sequence_id,session_number,game_type,difficulty,accuracy,score,response_time,mistakes,accuracy_change,target_difficulty
235,4,Everyday Problem Solver,Hard,89.83,7,5.52,1,-6.72,Hard
235,5,My Life Memories,Hard,96.34,10,6.85,0,6.51,Hard
236,1,Everyday Problem Solver,Easy,52.7,3,4.33,3,0.0,Medium
236,2,Memory Match & Recall,Medium,47.31,3,5.05,3,-5.39,Medium
236,3,Story & Conversation,Medium,61.04,3,4.46,2,13.73,Medium
236,4,My Life Memories,Easy,64.86,4,4.55,2,3.82,Medium
236,5,Behaviour & Emotional Response,Medium,61.71,6,2.31,4,-3.15,Medium
237,1,Memory Match & Recall,Easy,62.17,6,5.94,4,0.0,Medium
237,2,My Life Memories,Medium,49.45,5,2.85,5,-12.72,Medium
237,3,My Life Memories,Easy,67.62,4,3.7,2,18.17,Medium
237,4,Story & Conversation,Hard,36.26,3,5.26,5,-31.36,Medium
237,5,Behaviour & Emotional Response,Easy,65.79,3,3.75,2,29.53,Medium
238,1,Everyday Problem Solver,Easy,42.3,3,6.19,5,0.0,Easy
238,2,Story & Conversation,Easy,42.33,4,3.3,6,0.03,Easy
238,3,Behaviour & Emotional Response,Medium,28.71,2,5.26,4,-13.62,Easy
238,4,Memory Match & Recall,Hard,23.01,2,6.92,6,-5.7,Easy
238,5,Story & Conversation,Medium,28.51,2,5.37,6,5.5,Easy
239,1,My Life Memories,Hard,63.59,4,6.64,2,0.0,Hard
239,2,Story & Conversation,Hard,61.09,6,5.91,4,-2.5,Hard
239,3,Story & Conversation,Medium,78.32,5,5.37,1,17.23,Hard
239,4,My Life Memories,Easy,76.19,5,6.07,1,-2.13,Hard
239,5,Everyday Problem Solver,Easy,87.05,4,3.77,1,10.86,Hard
240,1,Behaviour & Emotional Response,Medium,54.59,3,5.62,2,0.0,Easy
240,2,Story & Conversation,Medium,55.49,3,5.43,2,0.9,Easy
240,3,My Life Memories,Hard,54.01,4,7.15,4,-1.48,Easy
240,4,Behaviour & Emotional Response,Medium,58.45,3,6.16,2,4.44,Easy
240,5,Memory Match & Recall,Medium,52.61,3,5.56,2,-5.84,Easy
241,1,Memory Match & Recall,Medium,85.83,9,3.8,1,0.0,Hard
241,2,My Life Memories,Medium,84.73,7,3.51,1,-1.1,Hard
241,3,My Life Memories,Medium,85.43,5,4.37,1,0.7,Hard
241,4,Memory Match & Recall,Easy,93.21,5,4.27,0,7.78,Hard
241,5,Behaviour & Emotional Response,Easy,98.0,6,3.13,0,4.79,Hard
242,1,My Life Memories,Hard,73.85,4,6.95,1,0.0,Medium
242,2,Behaviour & Emotional Response,Medium,80.34,4,5.88,1,6.49,Medium
242,3,Story & Conversation,Easy,89.24,4,5.35,1,8.9,Medium
242,4,My Life Memories,Easy,98.0,6,4.88,0,8.76,Medium
242,5,Story & Conversation,Hard,69.74,4,4.67,2,-28.26,Medium
243,1,Story & Conversation,Medium,63.27,5,5.55,3,0.0,Medium
243,2,Everyday Problem Solver,Easy,72.26,7,5.44,3,8.99,Medium
243,3,Everyday Problem Solver,Medium,64.56,6,5.65,4,-7.7,Medium
243,4,Story & Conversation,Easy,87.21,4,3.47,1,22.65,Medium
243,5,Memory Match & Recall,Hard,66.45,7,6.08,3,-20.76,Medium
244,1,Everyday Problem Solver,Hard,33.87,2,3.67,3,0.0,Easy
244,2,Memory Match & Recall,Hard,43.52,3,4.07,3,9.65,Easy
244,3,My Life Memories,Hard,43.49,3,5.64,5,-0.03,Easy
244,4,Story & Conversation,Medium,60.49,3,4.65,2,17.0,Easy
244,5,Everyday Problem Solver,Hard,43.94,4,6.83,4,-16.55,Easy
245,1,Story & Conversation,Hard,54.92,4,6.42,4,0.0,Hard
245,2,My Life Memories,Medium,57.31,3,5.95,2,2.39,Hard
245,3,Memory Match & Recall,Easy,81.7,5,3.13,1,24.39,Hard
245,4,Everyday Problem Solver,Easy,78.06,8,4.33,2,-3.64,Hard
245,5,Behaviour & Emotional Response,Easy,80.22,4,4.76,1,2.16,Hard
246,1,Story & Conversation,Hard,75.96,5,4.12,1,0.0,Hard
246,2,Memory Match & Recall,Medium,86.7,9,6.4,1,10.74,Hard
246,3,Story & Conversation,Hard,74.79,7,7.01,3,-11.91,Hard
246,4,My Life Memories,Medium,98.0,6,5.94,0,23.21,Hard
246,5,Memory Match & Recall,Easy,98.0,5,5.47,0,0.0,Hard
247,1,Everyday Problem Solver,Easy,72.32,7,4.0,3,0.0,Easy
247,2,Behaviour & Emotional Response,Medium,73.05,4,3.93,2,0.73,Easy
247,3,Behaviour & Emotional Response,Medium,74.37,6,5.5,2,1.32,Easy
247,4,Behaviour & Emotional Response,Easy,68.28,4,4.89,2,-6.09,Easy
247,5,My Life Memories,Hard,43.57,2,6.7,3,-24.71,Easy
248,1,My Life Memories,Medium,69.72,3,5.09,2,0.0,Hard
248,2,Story & Conversation,Medium,86.5,4,4.2,1,16.78,Hard
248,3,Behaviour & Emotional Response,Medium,69.93,4,6.72,2,-16.57,Hard
248,4,Story & Conversation,Medium,89.55,4,4.79,1,19.62,Hard
248,5,My Life Memories,Medium,85.35,5,6.43,1,-4.2,Hard
249,1,My Life Memories,Easy,55.95,6,6.03,4,0.0,Medium
249,2,Everyday Problem Solver,Hard,48.47,2,6.59,3,-7.48,Medium
249,3,Memory Match & Recall,Medium,46.58,3,7.51,3,-1.89,Medium
249,4,Behaviour & Emotional Response,Hard,38.18,4,5.59,6,-8.4,Medium
249,5,Everyday Problem Solver,Easy,66.92,7,6.33,3,28.74,Medium
250,1,Story & Conversation,Easy,85.3,7,4.87,1,0.0,Medium
250,2,Memory Match & Recall,Medium,74.57,7,5.57,3,-10.73,Medium
250,3,My Life Memories,Hard,48.63,2,5.56,3,-25.94,Medium
250,4,My Life Memories,Medium,78.76,8,3.49,2,30.13,Medium
250,5,Memory Match & Recall,Hard,69.13,7,5.5,3,-9.63,Medium
251,1,Story & Conversation,Easy,98.0,10,3.66,0,0.0,Hard
251,2,Memory Match & Recall,Easy,96.93,10,4.14,0,-1.07,Hard
251,3,Memory Match & Recall,Medium,86.62,4,5.04,1,-10.31,Hard
251,4,Memory Match & Recall,Medium,86.28,7,3.45,1,-0.34,Hard
251,5,Behaviour & Emotional Response,Medium,96.07,10,5.49,0,9.79,Hard
252,1,Story & Conversation,Medium,53.31,3,4.32,2,0.0,Easy
252,2,Everyday Problem Solver,Hard,38.95,3,6.97,5,-14.36,Easy
252,3,Behaviour & Emotional Response,Medium,50.73,5,5.64,5,11.78,Easy
252,4,Story & Conversation,Medium,49.34,2,4.87,3,-1.39,Easy
252,5,Memory Match & Recall,Medium,52.7,3,4.18,3,3.36,Easy
253,1,Memory Match & Recall,Easy,58.06,5,3.95,3,0.0,Medium
253,2,Behaviour & Emotional Response,Medium,57.14,3,4.74,2,-0.92,Medium
253,3,Memory Match & Recall,Hard,46.9,5,5.85,5,-10.24,Medium
253,4,Everyday Problem Solver,Hard,52.73,5,6.93,5,5.83,Medium
253,5,Memory Match & Recall,Easy,69.45,4,3.0,2,16.72,Medium
254,1,Everyday Problem Solver,Easy,51.45,5,4.17,5,0.0,Easy
254,2,Everyday Problem Solver,Medium,41.25,2,3.61,4,-10.2,Easy
254,3,Story & Conversation,Easy,54.63,5,4.78,5,13.38,Easy
254,4,Memory Match & Recall,Hard,40.44,2,5.31,3,-14.19,Easy
254,5,My Life Memories,Medium,47.89,3,4.0,3,7.45,Easy
255,1,My Life Memories,Easy,64.44,3,5.17,2,0.0,Medium
255,2,Behaviour & Emotional Response,Hard,38.31,4,5.56,6,-26.13,Medium
255,3,Behaviour & Emotional Response,Medium,64.34,4,5.21,2,26.03,Medium
255,4,Behaviour & Emotional Response,Easy,90.19,5,4.7,1,25.85,Medium
255,5,Memory Match & Recall,Medium,59.5,5,4.91,3,-30.69,Medium
256,1,Behaviour & Emotional Response,Hard,20.87,2,5.13,8,0.0,Medium
256,2,Behaviour & Emotional Response,Hard,28.35,2,5.41,4,7.48,Medium
256,3,Story & Conversation,Medium,35.66,3,4.45,5,7.31,Medium
256,4,Story & Conversation,Medium,48.29,3,4.73,3,12.63,Medium
256,5,Everyday Problem Solver,Medium,50.35,4,6.07,4,2.06,Medium
257,1,Behaviour & Emotional Response,Hard,57.44,3,6.31,3,0.0,Hard
257,2,Everyday Problem Solver,Easy,67.16,5,4.13,3,9.72,Hard
257,3,Story & Conversation,Hard,63.3,4,5.73,2,-3.86,Hard
257,4,Everyday Problem Solver,Medium,63.3,5,4.93,3,0.0,Hard
257,5,Memory Match & Recall,Medium,83.46,8,6.33,2,20.16,Hard
258,1,Behaviour & Emotional Response,Medium,64.78,6,4.54,4,0.0,Hard
258,2,Behaviour & Emotional Response,Easy,60.35,6,3.41,4,-4.43,Hard
258,3,Memory Match & Recall,Medium,71.45,4,4.6,1,11.1,Hard
258,4,My Life Memories,Easy,72.11,4,4.06,1,0.66,Hard
258,5,Everyday Problem Solver,Easy,86.49,5,6.26,1,14.38,Hard
259,1,Story & Conversation,Medium,92.33,6,5.12,0,0.0,Hard
259,2,Memory Match & Recall,Medium,85.68,7,6.59,1,-6.65,Hard
259,3,Everyday Problem Solver,Medium,89.28,4,5.05,1,3.6,Hard
259,4,Story & Conversation,Hard,79.2,4,4.96,1,-10.08,Hard
259,5,Behaviour & Emotional Response,Hard,82.26,5,4.91,1,3.06,Hard
260,1,Behaviour & Emotional Response,Medium,48.62,4,6.11,4,0.0,Medium
260,2,Memory Match & Recall,Hard,34.78,3,6.29,7,-13.84,Medium
260,3,My Life Memories,Hard,50.22,4,5.28,4,15.44,Medium
260,4,Behaviour & Emotional Response,Easy,62.11,5,4.23,3,11.89,Medium
260,5,Everyday Problem Solver,Medium,64.99,6,5.21,4,2.88,Medium
261,1,Everyday Problem Solver,Hard,42.94,3,4.63,5,0.0,Hard
261,2,Behaviour & Emotional Response,Medium,57.62,3,5.53,3,14.68,Hard
261,3,Everyday Problem Solver,Easy,63.18,4,3.49,2,5.56,Hard
261,4,Memory Match & Recall,Easy,61.21,4,5.15,2,-1.97,Hard
261,5,Behaviour & Emotional Response,Easy,75.41,4,3.63,1,14.2,Hard
262,1,My Life Memories,Easy,64.35,5,3.78,3,0.0,Medium
262,2,Everyday Problem Solver,Easy,78.19,6,3.28,2,13.84,Medium
262,3,Memory Match & Recall,Easy,74.26,4,3.6,2,-3.93,Medium
262,4,Memory Match & Recall,Easy,83.13,7,4.11,1,8.87,Medium
262,5,Behaviour & Emotional Response,Easy,69.45,6,1.9,2,-13.68,Medium
263,1,My Life Memories,Medium,53.64,4,1.77,4,0.0,Easy
263,2,Memory Match & Recall,Medium,49.4,4,4.47,4,-4.24,Easy
263,3,Behaviour & Emotional Response,Easy,72.23,4,3.96,2,22.83,Easy
263,4,Behaviour & Emotional Response,Easy,67.69,4,4.63,2,-4.54,Easy
263,5,My Life Memories,Medium,44.11,4,6.07,6,-23.58,Easy
264,1,Memory Match & Recall,Easy,76.28,5,9.1,1,0.0,Medium
264,2,Story & Conversation,Easy,62.23,5,6.57,3,-14.05,Medium
264,3,Everyday Problem Solver,Hard,52.51,5,6.22,5,-9.72,Medium
264,4,Behaviour & Emotional Response,Hard,55.46,3,5.35,2,2.95,Medium
264,5,Memory Match & Recall,Medium,65.81,7,5.37,3,10.35,Medium
265,1,Everyday Problem Solver,Hard,29.75,2,5.56,4,0.0,Easy
265,2,Memory Match & Recall,Medium,31.96,3,4.7,5,2.21,Easy
265,3,My Life Memories,Hard,35.79,2,5.37,3,3.83,Easy
265,4,My Life Memories,Easy,53.89,4,3.69,4,18.1,Easy
265,5,Memory Match & Recall,Hard,35.79,3,6.84,5,-18.1,Easy
266,1,Behaviour & Emotional Response,Hard,74.68,7,6.5,3,0.0,Hard
266,2,My Life Memories,Easy,98.0,6,5.77,0,23.32,Hard
266,3,Story & Conversation,Medium,86.42,4,5.7,1,-11.58,Hard
266,4,Everyday Problem Solver,Hard,79.06,4,5.59,1,-7.36,Hard
266,5,Memory Match & Recall,Easy,98.0,6,4.52,0,18.94,Hard
267,1,My Life Memories,Hard,47.54,3,7.81,3,0.0,Hard
267,2,Behaviour & Emotional Response,Hard,53.67,5,6.91,5,6.13,Hard
267,3,Memory Match & Recall,Medium,58.52,4,3.96,2,4.85,Hard
267,4,Memory Match & Recall,Medium,68.49,5,6.0,3,9.97,Hard
267,5,Memory Match & Recall,Easy,83.09,4,3.61,1,14.6,Hard
268,1,Everyday Problem Solver,Medium,46.72,2,4.66,3,0.0,Medium
268,2,Behaviour & Emotional Response,Hard,52.04,4,5.32,4,5.32,Medium
268,3,My Life Memories,Medium,63.4,6,4.76,4,11.36,Medium
268,4,My Life Memories,Easy,73.0,7,3.04,3,9.6,Medium
268,5,Memory Match & Recall,Medium,63.07,3,1.5,2,-9.93,Medium
269,1,Behaviour & Emotional Response,Easy,57.41,3,5.99,2,0.0,Medium
269,2,Story & Conversation,Hard,51.36,3,6.45,2,-6.05,Medium
269,3,Story & Conversation,Medium,69.32,6,3.81,2,17.96,Medium
269,4,Behaviour & Emotional Response,Easy,82.18,8,5.46,2,12.86,Medium
269,5,My Life Memories,Medium,61.78,3,6.37,2,-20.4,Medium
270,1,My Life Memories,Easy,48.46,3,3.88,3,0.0,Easy
270,2,Everyday Problem Solver,Medium,41.73,3,3.9,5,-6.73,Easy
270,3,Everyday Problem Solver,Easy,63.74,5,4.18,3,22.01,Easy
270,4,Memory Match & Recall,Medium,50.02,3,4.42,3,-13.72,Easy
270,5,Memory Match & Recall,Easy,48.48,5,4.94,5,-1.54,Easy
271,1,Behaviour & Emotional Response,Medium,30.9,2,3.61,3,0.0,Easy
271,2,Story & Conversation,Easy,54.74,4,5.66,4,23.84,Easy
271,3,Everyday Problem Solver,Medium,34.95,2,6.74,4,-19.79,Easy
271,4,Everyday Problem Solver,Easy,40.74,3,5.33,5,5.79,Easy
271,5,Everyday Problem Solver,Easy,48.52,2,4.93,3,7.78,Easy
272,1,Behaviour & Emotional Response,Medium,83.48,4,5.18,1,0.0,Hard
272,2,Story & Conversation,Medium,70.66,6,3.78,2,-12.82,Hard
272,3,Memory Match & Recall,Easy,91.35,9,4.38,1,20.69,Hard
272,4,Story & Conversation,Medium,76.8,5,7.78,1,-14.55,Hard
272,5,Memory Match & Recall,Easy,98.0,5,4.94,0,21.2,Hard
273,1,Everyday Problem Solver,Easy,69.81,7,3.3,3,0.0,Medium
273,2,Story & Conversation,Medium,63.05,5,5.3,3,-6.76,Medium
273,3,Behaviour & Emotional Response,Easy,66.63,5,4.87,3,3.58,Medium
273,4,Story & Conversation,Hard,52.65,3,3.59,3,-13.98,Medium
273,5,Memory Match & Recall,Easy,71.92,4,3.93,2,19.27,Medium
274,1,My Life Memories,Easy,98.0,8,2.61,0,0.0,Hard
274,2,Everyday Problem Solver,Medium,92.73,7,2.9,1,-5.27,Hard
274,3,My Life Memories,Medium,97.81,8,4.15,0,5.08,Hard
274,4,Story & Conversation,Medium,92.25,5,6.35,0,-5.56,Hard
274,5,Everyday Problem Solver,Medium,86.59,4,3.13,1,-5.66,Hard
275,1,Story & Conversation,Hard,45.48,3,4.11,3,0.0,Medium
275,2,Behaviour & Emotional Response,Easy,45.75,2,4.09,3,0.27,Medium
275,3,Memory Match & Recall,Hard,45.56,2,7.38,3,-0.19,Medium
275,4,Behaviour & Emotional Response,Medium,52.97,3,4.58,3,7.41,Medium
275,5,Memory Match & Recall,Medium,64.17,6,2.74,4,11.2,Medium
276,1,Everyday Problem Solver,Medium,55.31,3,5.6,3,0.0,Easy
276,2,Behaviour & Emotional Response,Medium,52.61,4,5.12,4,-2.7,Easy
276,3,Everyday Problem Solver,Medium,42.24,2,4.37,3,-10.37,Easy
276,4,My Life Memories,Medium,61.39,3,3.83,2,19.15,Easy
276,5,Everyday Problem Solver,Hard,48.53,3,6.45,3,-12.86,Easy
277,1,Behaviour & Emotional Response,Easy,65.88,4,3.32,2,0.0,Medium
277,2,Everyday Problem Solver,Medium,55.12,3,5.79,3,-10.76,Medium
277,3,My Life Memories,Hard,46.8,2,5.22,3,-8.32,Medium
277,4,Everyday Problem Solver,Medium,60.71,4,5.87,2,13.91,Medium
277,5,Memory Match & Recall,Easy,58.56,4,5.92,2,-2.15,Medium
278,1,Memory Match & Recall,Medium,57.51,5,6.48,3,0.0,Medium
278,2,My Life Memories,Medium,48.23,5,4.26,5,-9.28,Medium
278,3,Memory Match & Recall,Easy,66.22,5,3.53,3,17.99,Medium
278,4,Memory Match & Recall,Medium,69.87,6,3.91,2,3.65,Medium
278,5,Story & Conversation,Medium,57.62,3,5.28,3,-12.25,Medium
279,1,My Life Memories,Medium,39.59,3,5.56,5,0.0,Easy
279,2,Behaviour & Emotional Response,Medium,41.47,2,5.06,3,1.88,Easy
279,3,Behaviour & Emotional Response,Easy,51.79,3,2.77,3,10.32,Easy
279,4,Behaviour & Emotional Response,Medium,48.4,4,7.22,4,-3.39,Easy
279,5,My Life Memories,Medium,48.08,2,5.39,3,-0.32,Easy
280,1,Behaviour & Emotional Response,Hard,50.77,5,7.94,5,0.0,Hard
280,2,Everyday Problem Solver,Easy,83.1,7,6.29,1,32.33,Hard
280,3,Everyday Problem Solver,Easy,78.99,5,6.55,1,-4.11,Hard
280,4,Story & Conversation,Medium,79.54,4,5.53,1,0.55,Hard
280,5,Everyday Problem Solver,Medium,77.79,6,4.58,2,-1.75,Hard
281,1,Memory Match & Recall,Medium,78.85,8,2.51,2,0.0,Hard
281,2,My Life Memories,Easy,82.8,5,4.11,1,3.95,Hard
281,3,My Life Memories,Easy,92.87,5,4.19,0,10.07,Hard
281,4,Everyday Problem Solver,Medium,89.82,5,2.44,1,-3.05,Hard
281,5,Everyday Problem Solver,Medium,84.87,4,2.64,1,-4.95,Hard
282,1,Behaviour & Emotional Response,Easy,80.83,5,4.86,1,0.0,Medium
282,2,Story & Conversation,Hard,55.71,6,7.39,4,-25.12,Medium
282,3,Behaviour & Emotional Response,Hard,68.65,3,6.45,2,12.94,Medium
282,4,Story & Conversation,Hard,63.12,4,6.49,2,-5.53,Medium
282,5,My Life Memories,Medium,73.15,7,5.94,3,10.03,Medium
283,1,My Life Memories,Easy,98.0,10,3.34,0,0.0,Hard
283,2,Behaviour & Emotional Response,Easy,98.0,6,2.66,0,0.0,Hard
283,3,Behaviour & Emotional Response,Medium,91.18,7,5.31,1,-6.82,Hard
283,4,Everyday Problem Solver,Medium,78.02,6,3.48,2,-13.16,Hard
283,5,My Life Memories,Medium,89.04,4,4.43,1,11.02,Hard
284,1,Everyday Problem Solver,Medium,44.19,3,5.45,3,0.0,Easy
284,2,Memory Match & Recall,Easy,52.19,5,3.68,5,8.0,Easy
284,3,Everyday Problem Solver,Medium,51.15,3,7.08,3,-1.04,Easy
284,4,My Life Memories,Hard,31.46,2,5.31,3,-19.69,Easy
284,5,Behaviour & Emotional Response,Medium,50.81,3,4.66,2,19.35,Easy
285,1,Memory Match & Recall,Medium,62.35,4,2.71,2,0.0,Medium
285,2,Behaviour & Emotional Response,Medium,67.32,3,5.05,2,4.97,Medium
285,3,My Life Memories,Medium,58.44,5,4.93,3,-8.88,Medium
285,4,Memory Match & Recall,Medium,62.18,6,2.93,4,3.74,Medium
285,5,Everyday Problem Solver,Hard,60.88,6,5.86,4,-1.3,Medium
286,1,My Life Memories,Medium,72.35,4,3.7,1,0.0,Hard
286,2,My Life Memories,Easy,80.99,8,4.03,2,8.64,Hard
286,3,Everyday Problem Solver,Hard,62.73,3,3.25,2,-18.26,Hard
286,4,Story & Conversation,Medium,70.55,7,4.21,3,7.82,Hard
286,5,Story & Conversation,Easy,85.24,4,4.88,1,14.69,Hard
287,1,Behaviour & Emotional Response,Medium,45.11,2,5.01,3,0.0,Easy
287,2,My Life Memories,Medium,45.51,4,6.15,4,0.4,Easy
287,3,My Life Memories,Medium,50.17,3,1.61,3,4.66,Easy
287,4,My Life Memories,Medium,51.64,4,3.84,4,1.47,Easy
287,5,Story & Conversation,Hard,33.6,3,4.55,7,-18.04,Easy
288,1,Behaviour & Emotional Response,Medium,69.61,6,5.32,2,0.0,Easy
288,2,My Life Memories,Medium,59.5,6,5.57,4,-10.11,Easy
288,3,Behaviour & Emotional Response,Medium,61.89,6,4.17,4,2.39,Easy
288,4,Everyday Problem Solver,Medium,59.21,6,2.92,4,-2.68,Easy
288,5,Story & Conversation,Hard,53.3,4,6.06,4,-5.91,Easy
289,1,My Life Memories,Medium,56.05,3,3.92,2,0.0,Medium
289,2,Everyday Problem Solver,Medium,63.7,4,3.41,2,7.65,Medium
289,3,Memory Match & Recall,Easy,76.21,8,3.19,2,12.51,Medium
289,4,Story & Conversation,Hard,46.54,2,4.17,3,-29.67,Medium
289,5,Everyday Problem Solver,Medium,61.54,3,6.18,2,15.0,Medium
290,1,Memory Match & Recall,Hard,61.6,6,6.43,4,0.0,Hard
290,2,Behaviour & Emotional Response,Medium,62.61,3,4.6,2,1.01,Hard
290,3,Story & Conversation,Easy,76.05,4,5.99,1,13.44,Hard
290,4,Behaviour & Emotional Response,Easy,75.05,8,5.47,2,-1.0,Hard
290,5,My Life Memories,Medium,79.09,6,7.06,2,4.04,Hard
291,1,Behaviour & Emotional Response,Easy,68.13,4,7.19,2,0.0,Medium
291,2,My Life Memories,Medium,51.65,3,3.24,3,-16.48,Medium
291,3,Behaviour & Emotional Response,Easy,55.57,3,5.41,2,3.92,Medium
291,4,Behaviour & Emotional Response,Medium,47.06,3,4.68,3,-8.51,Medium
291,5,Behaviour & Emotional Response,Easy,72.48,4,4.64,1,25.42,Medium
292,1,Story & Conversation,Easy,77.72,4,5.91,1,0.0,Medium
292,2,Everyday Problem Solver,Easy,72.17,6,3.61,2,-5.55,Medium
292,3,My Life Memories,Medium,64.75,6,5.98,4,-7.42,Medium
292,4,My Life Memories,Medium,76.28,4,5.43,1,11.53,Medium
292,5,Memory Match & Recall,Hard,67.48,5,4.35,3,-8.8,Medium
293,1,Behaviour & Emotional Response,Hard,82.15,7,6.53,1,0.0,Hard
293,2,Story & Conversation,Hard,85.2,7,3.63,1,3.05,Hard
293,3,Everyday Problem Solver,Medium,84.86,5,3.94,1,-0.34,Hard
293,4,My Life Memories,Hard,81.84,4,4.39,1,-3.02,Hard
293,5,Story & Conversation,Easy,98.0,5,5.86,0,16.16,Hard
294,1,Behaviour & Emotional Response,Easy,82.13,7,3.16,1,0.0,Medium
294,2,Story & Conversation,Hard,54.85,4,7.36,4,-27.28,Medium
294,3,Behaviour & Emotional Response,Hard,66.1,5,5.72,3,11.25,Medium
294,4,My Life Memories,Hard,60.42,6,3.39,4,-5.68,Medium
294,5,Everyday Problem Solver,Medium,70.0,7,7.23,3,9.58,Medium
295,1,My Life Memories,Hard,29.93,1,7.27,4,0.0,Medium
295,2,My Life Memories,Easy,44.76,2,4.86,3,14.83,Medium
295,3,My Life Memories,Medium,49.42,3,5.12,3,4.66,Medium
295,4,Everyday Problem Solver,Hard,50.5,5,3.89,5,1.08,Medium
295,5,Story & Conversation,Medium,53.15,3,4.87,2,2.65,Medium
296,1,Story & Conversation,Easy,84.23,4,3.45,1,0.0,Hard
296,2,My Life Memories,Medium,74.45,6,2.67,2,-9.78,Hard
296,3,Memory Match & Recall,Medium,78.2,5,5.23,1,3.75,Hard
296,4,My Life Memories,Easy,89.91,5,5.55,1,11.71,Hard
296,5,Behaviour & Emotional Response,Easy,89.78,5,4.46,1,-0.13,Hard
297,1,My Life Memories,Medium,42.51,3,6.58,3,0.0,Medium
297,2,Everyday Problem Solver,Hard,44.9,3,5.66,3,2.39,Medium
297,3,Everyday Problem Solver,Easy,60.06,4,3.43,2,15.16,Medium
297,4,Behaviour & Emotional Response,Medium,58.32,3,5.83,2,-1.74,Medium
297,5,Memory Match & Recall,Hard,52.43,5,4.83,5,-5.89,Medium
298,1,Behaviour & Emotional Response,Easy,65.72,3,5.25,2,0.0,Hard
298,2,My Life Memories,Medium,54.54,4,4.02,4,-11.18,Hard
298,3,My Life Memories,Hard,50.62,4,6.76,4,-3.92,Hard
298,4,My Life Memories,Easy,63.33,5,6.12,3,12.71,Hard
298,5,My Life Memories,Easy,77.35,5,4.54,1,14.02,Hard
299,1,Memory Match & Recall,Medium,64.52,6,3.95,4,0.0,Medium
299,2,My Life Memories,Hard,50.87,3,3.31,2,-13.65,Medium
299,3,Behaviour & Emotional Response,Easy,79.45,5,2.49,1,28.58,Medium
299,4,My Life Memories,Hard,62.71,6,5.4,4,-16.74,Medium
299,5,Story & Conversation,Medium,65.92,3,4.22,2,3.21,Medium
300,1,Everyday Problem Solver,Medium,64.19,3,2.0,2,0.0,Medium
300,2,Story & Conversation,Medium,64.84,5,5.39,3,0.65,Medium
300,3,Everyday Problem Solver,Medium,51.44,3,3.8,3,-13.4,Medium
300,4,Story & Conversation,Medium,70.24,6,3.8,2,18.8,Medium
300,5,Story & Conversation,Easy,64.76,6,5.85,4,-5.48,Medium
301,1,Everyday Problem Solver,Medium,59.45,5,5.28,3,0.0,Medium
301,2,Story & Conversation,Hard,48.42,4,7.23,4,-11.03,Medium
301,3,My Life Memories,Easy,84.45,5,4.96,1,36.03,Medium
301,4,Behaviour & Emotional Response,Medium,71.75,4,7.04,1,-12.7,Medium
301,5,Story & Conversation,Hard,59.08,6,4.41,4,-12.67,Medium
302,1,My Life Memories,Easy,89.26,5,3.07,1,0.0,Hard
302,2,My Life Memories,Hard,54.07,3,6.37,3,-35.19,Hard
302,3,My Life Memories,Medium,69.42,6,3.77,2,15.35,Hard
302,4,My Life Memories,Easy,87.97,4,7.08,1,18.55,Hard
302,5,My Life Memories,Easy,83.92,5,3.24,1,-4.05,Hard
303,1,Memory Match & Recall,Easy,48.31,4,5.94,4,0.0,Easy
303,2,My Life Memories,Hard,29.12,1,6.06,4,-19.19,Easy
303,3,My Life Memories,Medium,36.23,3,3.9,5,7.11,Easy
303,4,Story & Conversation,Medium,46.27,4,6.23,4,10.04,Easy
303,5,Story & Conversation,Easy,43.49,2,6.56,3,-2.78,Easy
304,1,Story & Conversation,Hard,65.01,4,4.17,2,0.0,Hard
304,2,Behaviour & Emotional Response,Medium,61.92,4,4.83,2,-3.09,Hard
304,3,Story & Conversation,Medium,74.63,7,7.06,3,12.71,Hard
304,4,My Life Memories,Hard,65.35,7,5.49,3,-9.28,Hard
304,5,Behaviour & Emotional Response,Easy,78.45,5,5.85,1,13.1,Hard
305,1,Everyday Problem Solver,Medium,55.3,4,4.72,4,0.0,Easy
305,2,My Life Memories,Medium,56.57,6,5.86,4,1.27,Easy
305,3,Memory Match & Recall,Easy,57.71,5,3.92,3,1.14,Easy
305,4,Everyday Problem Solver,Easy,57.98,5,5.05,3,0.27,Easy
305,5,Story & Conversation,Medium,51.99,5,4.37,5,-5.99,Easy
306,1,Story & Conversation,Hard,45.99,4,3.38,4,0.0,Medium
306,2,Behaviour & Emotional Response,Medium,61.76,6,3.83,4,15.77,Medium
306,3,My Life Memories,Easy,63.6,3,2.47,2,1.84,Medium
306,4,Everyday Problem Solver,Medium,51.25,4,3.46,4,-12.35,Medium
306,5,Memory Match & Recall,Easy,69.26,7,6.79,3,18.01,Medium
307,1,Memory Match & Recall,Easy,63.18,6,4.98,4,0.0,Easy
307,2,Behaviour & Emotional Response,Easy,64.4,6,4.39,4,1.22,Easy
307,3,Behaviour & Emotional Response,Medium,47.94,2,6.86,3,-16.46,Easy
307,4,Memory Match & Recall,Easy,77.45,5,2.36,1,29.51,Easy
307,5,Memory Match & Recall,Medium,51.97,5,4.75,5,-25.48,Easy
308,1,Story & Conversation,Easy,58.57,5,3.66,3,0.0,Easy
308,2,My Life Memories,Medium,60.02,4,6.45,2,1.45,Easy
308,3,Behaviour & Emotional Response,Hard,37.81,2,7.23,3,-22.21,Easy
308,4,Memory Match & Recall,Medium,56.67,5,4.37,3,18.86,Easy
